MODUL
MSR310220

CHANNEL
TIME;ACC x;ACC y;ACC z;BAT

UNIT
;g;g;g;V

DATA
19.10.2015 10:05:23.049;-0.516;-0.016;0.869;
19.10.2015 10:05:24.049;-0.516;-0.016;0.902;
19.10.2015 10:05:25.049;-0.516;-0.016;0.902;
19.10.2015 10:05:26.049;-0.516;-0.016;0.902;
19.10.2015 10:05:27.049;-0.516;-0.016;0.836;
19.10.2015 10:05:28.049;-0.516;-0.016;0.902;
19.10.2015 10:05:29.049;-0.516;-0.016;0.902;
19.10.2015 10:05:30.049;-0.516;-0.016;0.902;
19.10.2015 10:05:31.049;-0.516;-0.016;0.902;
19.10.2015 10:05:32.049;-0.516;-0.016;0.869;
19.10.2015 10:05:33.049;-0.516;-0.016;0.902;
19.10.2015 10:05:34.049;-0.516;-0.016;0.902;
19.10.2015 10:05:35.049;-0.516;-0.016;0.902;
19.10.2015 10:05:36.049;-0.516;-0.016;0.902;
19.10.2015 10:05:37.049;-0.516;-0.016;0.902;
19.10.2015 10:05:38.049;-0.516;-0.016;0.902;
19.10.2015 10:05:39.049;-0.516;-0.016;0.869;
19.10.2015 10:05:40.049;-0.484;-0.016;0.902;
19.10.2015 10:05:41.049;-0.516;-0.016;0.902;
19.10.2015 10:05:42.049;-0.516;-0.016;0.902;
19.10.2015 10:05:43.049;-0.516;-0.016;0.902;
19.10.2015 10:05:44.049;-0.516;-0.016;0.869;
19.10.2015 10:05:45.049;-0.516;-0.016;0.869;
19.10.2015 10:05:46.049;-0.516;-0.016;0.902;
19.10.2015 10:05:47.049;-0.516;-0.016;0.869;
19.10.2015 10:05:48.049;-0.516;-0.016;0.902;
19.10.2015 10:05:49.049;-0.516;-0.016;0.869;
19.10.2015 10:05:50.049;-0.516;-0.016;0.902;
19.10.2015 10:05:51.049;-0.516;-0.016;0.869;
19.10.2015 10:05:52.049;-0.516;-0.016;0.869;
19.10.2015 10:05:53.049;-0.516;-0.016;0.869;
19.10.2015 10:05:54.049;-0.516;-0.016;0.869;
19.10.2015 10:05:55.049;-0.516;-0.016;0.902;
19.10.2015 10:05:56.049;-0.516;-0.016;0.902;
19.10.2015 10:05:57.049;-0.516;-0.016;0.902;
19.10.2015 10:05:58.049;-0.516;-0.016;0.869;
19.10.2015 10:05:59.049;-0.516;-0.016;0.902;
19.10.2015 10:06:00.049;-0.516;-0.016;0.902;
19.10.2015 10:06:01.049;-0.516;-0.016;0.902;
19.10.2015 10:06:02.049;-0.516;-0.016;0.902;
19.10.2015 10:06:03.049;-0.516;-0.016;0.902;
19.10.2015 10:06:04.049;-0.516;-0.016;0.869;
19.10.2015 10:06:05.049;-0.516;-0.016;0.902;
19.10.2015 10:06:06.049;-0.516;-0.016;0.902;
19.10.2015 10:06:07.049;-0.516;-0.016;0.902;
19.10.2015 10:06:08.049;-0.516;-0.016;0.902;
19.10.2015 10:06:09.049;-0.516;-0.016;0.902;
19.10.2015 10:06:10.049;-0.516;-0.016;0.902;
19.10.2015 10:06:11.049;-0.548;-0.016;0.934;
19.10.2015 10:06:12.049;-0.548;-0.048;0.902;
19.10.2015 10:06:13.049;-0.516;-0.016;0.869;
19.10.2015 10:06:14.049;-0.516;-0.016;0.902;
19.10.2015 10:06:15.049;-0.516;-0.016;0.902;
19.10.2015 10:06:16.049;-0.516;-0.016;0.869;
19.10.2015 10:06:17.049;-0.516;-0.016;0.902;
19.10.2015 10:06:18.049;-0.516;-0.016;0.869;
19.10.2015 10:06:19.049;-0.516;-0.016;0.902;
19.10.2015 10:06:20.049;-0.516;-0.016;0.902;
19.10.2015 10:06:21.049;-0.516;-0.048;0.902;
19.10.2015 10:06:22.049;-0.516;-0.016;0.902;
19.10.2015 10:06:23.049;-0.516;-0.016;0.869;
19.10.2015 10:06:24.049;-0.516;-0.016;0.869;
19.10.2015 10:06:25.049;-0.516;-0.016;0.902;
19.10.2015 10:06:26.049;-0.484;-0.016;0.902;
19.10.2015 10:06:27.049;-0.516;-0.016;0.902;
19.10.2015 10:06:28.049;-0.516;-0.016;0.902;
19.10.2015 10:06:29.049;-0.516;-0.016;0.902;
19.10.2015 10:06:30.049;-0.516;-0.016;0.902;
19.10.2015 10:06:31.049;-0.516;-0.016;0.869;
19.10.2015 10:06:32.049;-0.516;-0.016;0.869;
19.10.2015 10:06:33.049;-0.516;-0.016;0.869;
19.10.2015 10:06:34.049;-0.516;-0.016;0.902;
19.10.2015 10:06:35.049;-0.516;-0.016;0.869;
19.10.2015 10:06:36.049;-0.516;-0.016;0.869;
19.10.2015 10:06:37.049;-0.516;-0.016;0.869;
19.10.2015 10:06:38.049;-0.516;-0.016;0.902;
19.10.2015 10:06:39.049;-0.516;-0.016;0.902;
